iter	Passed	Remaining
0	139	139323
1	134	67114
2	135	45181
3	137	34256
4	139	27687
5	147	24395
6	148	21071
7	150	18604
8	151	16710
9	153	15151
10	154	13872
11	155	12837
12	157	11962
13	158	11181
14	160	10536
15	162	9965
16	164	9526
17	166	9110
18	168	8689
19	169	8311
20	170	7967
21	172	7659
22	173	7369
23	175	7122
24	177	6931
25	180	6743
26	181	6547
27	183	6358
28	184	6177
29	185	6001
30	186	5829
31	187	5678
32	188	5534
33	191	5428
34	192	5314
35	194	5199
36	195	5095
37	196	4986
38	198	4896
39	200	4800
40	201	4705
41	202	4620
42	203	4535
43	205	4455
44	207	4395
45	208	4325
46	210	4266
47	212	4205
48	214	4159
49	216	4121
50	218	4061
51	219	4001
52	221	3948
53	222	3905
54	224	3864
55	226	3813
56	227	3763
57	228	3716
58	230	3670
59	231	3625
60	233	3591
61	234	3551
62	237	3525
63	238	3485
64	239	3447
65	241	3410
66	242	3371
67	243	3334
68	244	3299
69	245	3265
70	246	3231
71	248	3198
72	249	3166
73	250	3135
74	253	3122
75	254	3088
76	256	3080
77	258	3055
78	259	3029
79	261	3002
80	262	2977
81	263	2952
82	265	2930
83	267	2919
84	269	2905
85	272	2892
86	273	2870
87	274	2848
88	276	2829
89	277	2808
90	278	2786
91	280	2769
92	282	2756
93	284	2740
94	285	2721
95	286	2701
96	288	2682
97	289	2662
98	290	2644
99	291	2626
100	293	2609
101	295	2601
102	296	2585
103	298	2575
104	300	2559
105	301	2543
106	303	2531
107	305	2523
108	307	2517
109	310	2510
110	311	2495
111	313	2484
112	314	2468
113	316	2460
114	317	2447
115	319	2432
116	320	2418
117	321	2404
118	323	2391
119	324	2381
120	326	2369
121	327	2356
122	329	2346
123	330	2334
124	331	2323
125	333	2310
126	334	2298
127	335	2287
128	337	2277
129	338	2265
130	339	2254
131	341	2243
132	342	2232
133	343	2222
134	346	2217
135	348	2216
136	350	2206
137	351	2197
138	353	2187
139	354	2176
140	355	2167
141	357	2158
142	357	2145
143	360	2144
144	362	2137
145	364	2132
146	366	2124
147	367	2117
148	368	2107
149	370	2099
150	371	2091
151	373	2083
152	374	2071
153	376	2067
154	377	2058
155	378	2048
156	381	2048
157	385	2051
158	388	2052
159	392	2061
160	396	2067
161	398	2060
162	400	2054
163	401	2047
164	402	2039
165	404	2030
166	405	2024
167	407	2017
168	409	2011
169	410	2005
170	413	2003
171	415	1999
172	417	1995
173	419	1989
174	421	1986
175	423	1981
176	424	1973
177	425	1965
178	426	1957
179	428	1950
180	429	1942
181	430	1934
182	431	1927
183	433	1920
184	434	1912
185	435	1907
186	440	1915
187	444	1921
188	446	1916
189	449	1914
190	452	1917
191	456	1920
192	458	1915
193	460	1913
194	465	1919
195	469	1925
196	470	1919
197	472	1914
198	474	1909
199	476	1904
200	477	1898
201	480	1896
202	482	1893
