Viajes/pernoctaciones;Formas de turismo;Categoría de visitantes;periodo;Total
Número de viajes;Turismo receptor;Turistas;2022;71.659.281
Número de viajes;Turismo receptor;Turistas;2021;31.180.802
Número de viajes;Turismo receptor;Turistas;2020;18.933.103
Número de viajes;Turismo receptor;Turistas;2019;83.509.153
Número de viajes;Turismo receptor;Turistas;2018;82.808.413
Número de viajes;Turismo receptor;Turistas;2017;81.868.522
Número de viajes;Turismo receptor;Turistas;2016;75.315.008
Número de viajes;Turismo receptor;Excursionistas;2022;33.308.819
Número de viajes;Turismo receptor;Excursionistas;2021;20.450.574
Número de viajes;Turismo receptor;Excursionistas;2020;17.476.868
Número de viajes;Turismo receptor;Excursionistas;2019;42.660.933
Número de viajes;Turismo receptor;Excursionistas;2018;41.647.253
Número de viajes;Turismo receptor;Excursionistas;2017;39.848.764
Número de viajes;Turismo receptor;Excursionistas;2016;40.246.069
Número de viajes;Turismo interno;Turistas;2022;155.253.027
Número de viajes;Turismo interno;Turistas;2021;135.687.709
Número de viajes;Turismo interno;Turistas;2020;96.449.394
Número de viajes;Turismo interno;Turistas;2019;173.754.971
Número de viajes;Turismo interno;Turistas;2018;176.772.352
Número de viajes;Turismo interno;Turistas;2017;176.399.801
Número de viajes;Turismo interno;Turistas;2016;166.218.791
Número de viajes;Turismo interno;Excursionistas;2022;206.207.244
Número de viajes;Turismo interno;Excursionistas;2021;212.971.415
Número de viajes;Turismo interno;Excursionistas;2020;160.339.793
Número de viajes;Turismo interno;Excursionistas;2019;257.619.303
Número de viajes;Turismo interno;Excursionistas;2018;278.190.668
Número de viajes;Turismo interno;Excursionistas;2017;280.332.355
Número de viajes;Turismo interno;Excursionistas;2016;238.195.864
Número de viajes;Turismo emisor;Turistas;2022;16.135.111
Número de viajes;Turismo emisor;Turistas;2021;7.205.752
Número de viajes;Turismo emisor;Turistas;2020;5.074.468
Número de viajes;Turismo emisor;Turistas;2019;20.119.745
Número de viajes;Turismo emisor;Turistas;2018;19.307.118
Número de viajes;Turismo emisor;Turistas;2017;17.289.487
Número de viajes;Turismo emisor;Turistas;2016;15.732.052
Número de viajes;Turismo emisor;Excursionistas;2022;2.497.754
Número de viajes;Turismo emisor;Excursionistas;2021;1.525.163
Número de viajes;Turismo emisor;Excursionistas;2020;1.295.822
Número de viajes;Turismo emisor;Excursionistas;2019;2.971.256
Número de viajes;Turismo emisor;Excursionistas;2018;3.255.321
Número de viajes;Turismo emisor;Excursionistas;2017;3.242.631
Número de viajes;Turismo emisor;Excursionistas;2016;2.872.100
Número de pernoctaciones;Turismo receptor;Turistas;2022;537.611.775
Número de pernoctaciones;Turismo receptor;Turistas;2021;253.985.281
Número de pernoctaciones;Turismo receptor;Turistas;2020;147.986.129
Número de pernoctaciones;Turismo receptor;Turistas;2019;594.017.856
Número de pernoctaciones;Turismo receptor;Turistas;2018;616.714.999
Número de pernoctaciones;Turismo receptor;Turistas;2017;633.696.886
Número de pernoctaciones;Turismo receptor;Turistas;2016;593.417.445
Número de pernoctaciones;Turismo receptor;Excursionistas;2022;..
Número de pernoctaciones;Turismo receptor;Excursionistas;2021;..
Número de pernoctaciones;Turismo receptor;Excursionistas;2020;..
Número de pernoctaciones;Turismo receptor;Excursionistas;2019;..
Número de pernoctaciones;Turismo receptor;Excursionistas;2018;..
Número de pernoctaciones;Turismo receptor;Excursionistas;2017;..
Número de pernoctaciones;Turismo receptor;Excursionistas;2016;..
Número de pernoctaciones;Turismo interno;Turistas;2022;608.235.505
Número de pernoctaciones;Turismo interno;Turistas;2021;557.278.462
Número de pernoctaciones;Turismo interno;Turistas;2020;450.689.308
Número de pernoctaciones;Turismo interno;Turistas;2019;649.516.399
Número de pernoctaciones;Turismo interno;Turistas;2018;644.365.970
Número de pernoctaciones;Turismo interno;Turistas;2017;660.794.364
Número de pernoctaciones;Turismo interno;Turistas;2016;643.050.482
Número de pernoctaciones;Turismo interno;Excursionistas;2022;..
Número de pernoctaciones;Turismo interno;Excursionistas;2021;..
Número de pernoctaciones;Turismo interno;Excursionistas;2020;..
Número de pernoctaciones;Turismo interno;Excursionistas;2019;..
Número de pernoctaciones;Turismo interno;Excursionistas;2018;..
Número de pernoctaciones;Turismo interno;Excursionistas;2017;..
Número de pernoctaciones;Turismo interno;Excursionistas;2016;..
Número de pernoctaciones;Turismo emisor;Turistas;2022;68.893.926
Número de pernoctaciones;Turismo emisor;Turistas;2021;68.893.926
Número de pernoctaciones;Turismo emisor;Turistas;2020;42.719.916
Número de pernoctaciones;Turismo emisor;Turistas;2019;144.391.738
Número de pernoctaciones;Turismo emisor;Turistas;2018;151.773.267
Número de pernoctaciones;Turismo emisor;Turistas;2017;141.154.479
Número de pernoctaciones;Turismo emisor;Turistas;2016;137.274.029
Número de pernoctaciones;Turismo emisor;Excursionistas;2022;..
Número de pernoctaciones;Turismo emisor;Excursionistas;2021;..
Número de pernoctaciones;Turismo emisor;Excursionistas;2020;..
Número de pernoctaciones;Turismo emisor;Excursionistas;2019;..
Número de pernoctaciones;Turismo emisor;Excursionistas;2018;..
Número de pernoctaciones;Turismo emisor;Excursionistas;2017;..
Número de pernoctaciones;Turismo emisor;Excursionistas;2016;..
