TIPO_ESTABLECIMIENTO;CCAA;PROVINCIA;NUM_ESTABLECIMIENTOS
Alojamientos turísticos y otros alojamientos de corta estancia;Andalucía;Almería;7
Alojamientos turísticos y otros alojamientos de corta estancia;Andalucía;Cádiz;10
Alojamientos turísticos y otros alojamientos de corta estancia;Andalucía;Granada;12
Alojamientos turísticos y otros alojamientos de corta estancia;Andalucía;Huelva;16
Alojamientos turísticos y otros alojamientos de corta estancia;Andalucía;Jaén;2
Alojamientos turísticos y otros alojamientos de corta estancia;Andalucía;Málaga;45
Alojamientos turísticos y otros alojamientos de corta estancia;Andalucía;Sevilla;30
Alojamientos turísticos y otros alojamientos de corta estancia;Aragón;Huesca;6
Alojamientos turísticos y otros alojamientos de corta estancia;Aragón;Teruel;3
Alojamientos turísticos y otros alojamientos de corta estancia;Canarias;Las Palmas;149
Alojamientos turísticos y otros alojamientos de corta estancia;Canarias;Santa Cruz de Tenerife;39
Alojamientos turísticos y otros alojamientos de corta estancia;Cantabria;Cantabria;5
Alojamientos turísticos y otros alojamientos de corta estancia;Castilla - La Mancha;Albacete;1
Alojamientos turísticos y otros alojamientos de corta estancia;Castilla - La Mancha;Toledo;3
Alojamientos turísticos y otros alojamientos de corta estancia;Castilla y León;León;1
Alojamientos turísticos y otros alojamientos de corta estancia;Castilla y León;Palencia;2
Alojamientos turísticos y otros alojamientos de corta estancia;Castilla y León;Salamanca;3
Alojamientos turísticos y otros alojamientos de corta estancia;Castilla y León;Segovia;1
Alojamientos turísticos y otros alojamientos de corta estancia;Castilla y León;Valladolid;2
Alojamientos turísticos y otros alojamientos de corta estancia;Cataluña;Barcelona;99
Alojamientos turísticos y otros alojamientos de corta estancia;Cataluña;Girona;50
Alojamientos turísticos y otros alojamientos de corta estancia;Cataluña;Lleida;6
Alojamientos turísticos y otros alojamientos de corta estancia;Cataluña;Tarragona;40
Alojamientos turísticos y otros alojamientos de corta estancia;Comunidad Foral de Navarra;Navarra;4
Alojamientos turísticos y otros alojamientos de corta estancia;Comunidad de Madrid;Madrid;53
Alojamientos turísticos y otros alojamientos de corta estancia;Comunitat Valenciana;Alicante/Alacant;69
Alojamientos turísticos y otros alojamientos de corta estancia;Comunitat Valenciana;Castellón/Castelló;4
Alojamientos turísticos y otros alojamientos de corta estancia;Comunitat Valenciana;Valencia/València;24
Alojamientos turísticos y otros alojamientos de corta estancia;Extremadura;Cáceres;11
Alojamientos turísticos y otros alojamientos de corta estancia;Galicia;A Coruña;13
Alojamientos turísticos y otros alojamientos de corta estancia;Galicia;Lugo;2
Alojamientos turísticos y otros alojamientos de corta estancia;Galicia;Ourense;1
Alojamientos turísticos y otros alojamientos de corta estancia;Galicia;Pontevedra;10
Alojamientos turísticos y otros alojamientos de corta estancia;Illes Balears;Illes Balears;90
Alojamientos turísticos y otros alojamientos de corta estancia;La Rioja;La Rioja;2
Alojamientos turísticos y otros alojamientos de corta estancia;País Vasco;Araba/Álava;2
Alojamientos turísticos y otros alojamientos de corta estancia;País Vasco;Bizkaia;3
Alojamientos turísticos y otros alojamientos de corta estancia;País Vasco;Gipuzkoa;1
Alojamientos turísticos y otros alojamientos de corta estancia;Principado de Asturias;Asturias;15
Alojamientos turísticos y otros alojamientos de corta estancia;Región de Murcia;Murcia;20
Campings y aparcamientos para caravanas;Cataluña;Tarragona;1
Campings y aparcamientos para caravanas;Galicia;Lugo;1
Campings y aparcamientos para caravanas;Región de Murcia;Murcia;1
Establecimientos de bebidas;Andalucía;Almería;17
Establecimientos de bebidas;Andalucía;Cádiz;65
Establecimientos de bebidas;Andalucía;Córdoba;23
Establecimientos de bebidas;Andalucía;Granada;20
Establecimientos de bebidas;Andalucía;Huelva;20
Establecimientos de bebidas;Andalucía;Jaén;10
Establecimientos de bebidas;Andalucía;Málaga;133
Establecimientos de bebidas;Andalucía;Sevilla;171
Establecimientos de bebidas;Aragón;Teruel;2
Establecimientos de bebidas;Aragón;Zaragoza;58
Establecimientos de bebidas;Canarias;Las Palmas;61
Establecimientos de bebidas;Canarias;Santa Cruz de Tenerife;40
Establecimientos de bebidas;Cantabria;Cantabria;64
Establecimientos de bebidas;Castilla - La Mancha;Albacete;15
Establecimientos de bebidas;Castilla - La Mancha;Ciudad Real;7
Establecimientos de bebidas;Castilla - La Mancha;Cuenca;1
Establecimientos de bebidas;Castilla - La Mancha;Guadalajara;8
Establecimientos de bebidas;Castilla - La Mancha;Toledo;5
Establecimientos de bebidas;Castilla y León;Burgos;6
Establecimientos de bebidas;Castilla y León;León;5
Establecimientos de bebidas;Castilla y León;Palencia;1
Establecimientos de bebidas;Castilla y León;Salamanca;8
Establecimientos de bebidas;Castilla y León;Segovia;7
Establecimientos de bebidas;Castilla y León;Valladolid;17
Establecimientos de bebidas;Castilla y León;Zamora;3
Establecimientos de bebidas;Castilla y León;Ávila;3
Establecimientos de bebidas;Cataluña;Barcelona;861
Establecimientos de bebidas;Cataluña;Girona;78
Establecimientos de bebidas;Cataluña;Lleida;9
Establecimientos de bebidas;Cataluña;Tarragona;57
Establecimientos de bebidas;Ceuta;Ceuta;1
Establecimientos de bebidas;Comunidad Foral de Navarra;Navarra;145
Establecimientos de bebidas;Comunidad de Madrid;Madrid;665
