AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2011;1;ALHAMA (COMARZA);Región de Murcia;Murcia;15,8;36
2011;1;ARCHENA;Región de Murcia;Murcia;6,2;24
2011;1;BULLAS;Región de Murcia;Murcia;15,2;24
2011;1;CALASPARRA;Región de Murcia;Murcia;13,8;36
2011;1;CARAVACA (LOS ROYOS- AUT.);Región de Murcia;Murcia;17,4;36
2011;1;CARAVACA (P. BOMBEROS);Región de Murcia;Murcia;11,3;24
2011;1;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;14,6;24
2011;1;CARTAGENA;Región de Murcia;Murcia;23,8;36
2011;1;CIEZA, PARQUE DE BOMBEROS;Región de Murcia;Murcia;11,2;54
2011;1;FUENTE ÁLAMO;Región de Murcia;Murcia;19,8;36
2011;1;JUMILLA EL ALBAL;Región de Murcia;Murcia;10,0;24
2011;1;LORCA;Región de Murcia;Murcia;22,6;54
2011;1;MAZARRÓN (I.O.E. - AUT.);Región de Murcia;Murcia;21,2;48
2011;1;MOLINA DE SEGURA (LOS VALIENTES);Región de Murcia;Murcia;6,2;24
2011;1;MULA, P. BOMBEROS;Región de Murcia;Murcia;8,8;24
2011;1;MURCIA;Región de Murcia;Murcia;9,2;108
2011;1;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;9,2;30
2011;1;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;15,2;36
2011;1;PUERTO LUMBRERAS;Región de Murcia;Murcia;30,8;60
2011;1;TORRE PACHECO (C.C.A.);Región de Murcia;Murcia;16,4;24
2011;1;YECLA;Región de Murcia;Murcia;6,6;24
2011;1;YECLA (COOP. FRUTAS);Región de Murcia;Murcia;0,0;0
2011;1;ZARZILLA DE RAMOS;Región de Murcia;Murcia;24,2;120
2011;1;ÁGUILAS;Región de Murcia;Murcia;28,6;156
2011;2;ALHAMA (COMARZA);Región de Murcia;Murcia;6,0;60
2011;2;ARCHENA;Región de Murcia;Murcia;8,0;36
2011;2;BENIZAR;Región de Murcia;Murcia;12,4;72
2011;2;BULLAS;Región de Murcia;Murcia;5,4;36
2011;2;CALASPARRA;Región de Murcia;Murcia;3,0;48
2011;2;CARAVACA (LOS ROYOS- AUT.);Región de Murcia;Murcia;7,8;24
2011;2;CARAVACA (P. BOMBEROS);Región de Murcia;Murcia;5,8;36
2011;2;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;6,8;48
2011;2;CARTAGENA;Región de Murcia;Murcia;2,5;24
2011;2;CIEZA, PARQUE DE BOMBEROS;Región de Murcia;Murcia;5,7;18
2011;2;FUENTE ÁLAMO;Región de Murcia;Murcia;3,2;24
2011;2;JUMILLA EL ALBAL;Región de Murcia;Murcia;10,8;48
2011;2;LORCA;Región de Murcia;Murcia;4,6;36
2011;2;MAZARRÓN (I.O.E. - AUT.);Región de Murcia;Murcia;1,8;24
2011;2;MOLINA DE SEGURA (LOS VALIENTES);Región de Murcia;Murcia;13,8;60
2011;2;MULA, P. BOMBEROS;Región de Murcia;Murcia;10,8;108
2011;2;MURCIA;Región de Murcia;Murcia;12,7;48
2011;2;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;9,7;36
2011;2;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;2,2;36
2011;2;PUERTO LUMBRERAS;Región de Murcia;Murcia;3,6;12
2011;2;TORRE PACHECO (C.C.A.);Región de Murcia;Murcia;1,8;24
2011;2;YECLA;Región de Murcia;Murcia;6,0;24
2011;2;YECLA (COOP. FRUTAS);Región de Murcia;Murcia;4,2;18
2011;2;ZARZILLA DE RAMOS;Región de Murcia;Murcia;8,4;72
2011;2;ÁGUILAS;Región de Murcia;Murcia;1,0;24
2011;3;ALHAMA (COMARZA);Región de Murcia;Murcia;60,8;168
2011;3;ARCHENA;Región de Murcia;Murcia;48,2;72
2011;3;BENIZAR;Región de Murcia;Murcia;130,8;156
2011;3;BULLAS;Región de Murcia;Murcia;125,8;204
2011;3;CALASPARRA;Región de Murcia;Murcia;57,4;84
2011;3;CARAVACA (LOS ROYOS- AUT.);Región de Murcia;Murcia;52,8;48
2011;3;CARAVACA (P. BOMBEROS);Región de Murcia;Murcia;83,6;144
2011;3;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;86,8;144
2011;3;CARTAGENA;Región de Murcia;Murcia;31,9;132
2011;3;CIEZA, PARQUE DE BOMBEROS;Región de Murcia;Murcia;34,4;66
2011;3;FUENTE ÁLAMO;Región de Murcia;Murcia;43,8;72
2011;3;JUMILLA EL ALBAL;Región de Murcia;Murcia;29,8;48
2011;3;LORCA;Región de Murcia;Murcia;68,8;102
2011;3;MAZARRÓN (I.O.E. - AUT.);Región de Murcia;Murcia;42,6;108
2011;3;MOLINA DE SEGURA (LOS VALIENTES);Región de Murcia;Murcia;44,2;120
2011;3;MULA, P. BOMBEROS;Región de Murcia;Murcia;79,8;120
2011;3;MURCIA;Región de Murcia;Murcia;38,0;60
2011;3;MURCIA/ALCANTARILLA;Región de Murcia;Murcia;32,7;78
2011;3;MURCIA/SAN JAVIER II;Región de Murcia;Murcia;94,7;780
2011;3;PUERTO LUMBRERAS;Región de Murcia;Murcia;80,2;192
2011;3;TORRE PACHECO (C.C.A.);Región de Murcia;Murcia;40,8;156
2011;3;YECLA;Región de Murcia;Murcia;33,0;60
2011;3;YECLA (COOP. FRUTAS);Región de Murcia;Murcia;17,2;60
2011;3;ZARZILLA DE RAMOS;Región de Murcia;Murcia;35,4;120
2011;3;ÁGUILAS;Región de Murcia;Murcia;28,8;96
2011;4;ALHAMA (COMARZA);Región de Murcia;Murcia;33,4;312
2011;4;ARCHENA;Región de Murcia;Murcia;17,4;228
2011;4;BENIZAR;Región de Murcia;Murcia;75,2;288
2011;4;BULLAS;Región de Murcia;Murcia;35,4;96
2011;4;CALASPARRA;Región de Murcia;Murcia;34,0;180
2011;4;CARAVACA (LOS ROYOS- AUT.);Región de Murcia;Murcia;29,2;120
2011;4;CARAVACA (P. BOMBEROS);Región de Murcia;Murcia;42,4;300
2011;4;CARAVACA,FUENTES DEL MARQUÉS;Región de Murcia;Murcia;43,8;252
2011;4;CARTAGENA;Región de Murcia;Murcia;20,9;354
2011;4;CIEZA, PARQUE DE BOMBEROS;Región de Murcia;Murcia;25,0;222
2011;4;FUENTE ÁLAMO;Región de Murcia;Murcia;34,6;444
2011;4;JUMILLA EL ALBAL;Región de Murcia;Murcia;60,0;384
2011;4;LORCA;Región de Murcia;Murcia;22,0;216
2011;4;MAZARRÓN (I.O.E. - AUT.);Región de Murcia;Murcia;30,4;180
2011;4;MOLINA DE SEGURA (LOS VALIENTES);Región de Murcia;Murcia;29,4;156
2011;4;MULA, P. BOMBEROS;Región de Murcia;Murcia;34,4;312
2011;4;MURCIA;Región de Murcia;Murcia;26,6;498
